Largest Z = 90
time = 1e-20
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 0
Yh_nse = 6.19673e-13
88 0.000000e+00 0.000000e+00 0.000000e+00
89 0.000000e+00 0.000000e+00 0.000000e+00
90 0.000000e+00 0.000000e+00 0.000000e+00

time = 5.25042e-15
t9 = 10
rho = 1.5e+06
Ye = 0.33
Yh = 3.66825e-25
Yh_nse = 6.19673e-13
0 6.699731e-01 6.690374e-01 6.690374e-01
1 3.300000e-01 3.290668e-01 3.290668e-01
2 2.540643e-10 4.666217e-04 4.666217e-04
3 3.667862e-25 2.374052e-13 1.405359e-25
4 3.904679e-29 3.822653e-13 2.262882e-25
5 7.407442e-43 1.095487e-18 6.484913e-31
6 1.120205e-52 8.831811e-19 5.228135e-31
7 0.000000e+00 2.583321e-23 1.529239e-35
8 0.000000e+00 1.572067e-24 9.306107e-37
9 0.000000e+00 2.193799e-29 1.298655e-41
10 0.000000e+00 2.811670e-31 1.664414e-43
11 0.000000e+00 8.336407e-35 4.934872e-47
12 0.000000e+00 6.160571e-36 3.646851e-48
13 0.000000e+00 2.789751e-39 1.651439e-51
14 0.000000e+00 1.895788e-40 1.122243e-52
15 0.000000e+00 4.542393e-44 2.688944e-56
16 0.000000e+00 2.232405e-46 1.321509e-58
17 0.000000e+00 7.669627e-50 4.540161e-62
18 0.000000e+00 2.095567e-52 1.240505e-64
19 0.000000e+00 7.492750e-56 4.435456e-68
20 0.000000e+00 1.868842e-58 1.106291e-70
21 0.000000e+00 4.988211e-62 2.952853e-74
22 0.000000e+00 1.885219e-64 1.115986e-76
23 0.000000e+00 3.205751e-67 1.897696e-79
24 0.000000e+00 1.098835e-69 6.504735e-82
25 0.000000e+00 1.766092e-72 1.045467e-84
26 0.000000e+00 3.986645e-75 2.359959e-87
27 0.000000e+00 3.415780e-78 2.022027e-90
28 0.000000e+00 2.832979e-81 1.677028e-93
29 0.000000e+00 5.531576e-85 3.274506e-97
30 0.000000e+00 1.178725e-88 6.977657e-101
31 0.000000e+00 1.449822e-92 8.582460e-105
32 0.000000e+00 1.415530e-96 8.379460e-109
33 0.000000e+00 1.521341e-100 9.005826e-113
34 0.000000e+00 1.792448e-104 1.061069e-116
35 0.000000e+00 2.326997e-108 1.377504e-120
36 0.000000e+00 4.811913e-112 2.848490e-124
37 0.000000e+00 6.006813e-116 3.555831e-128
38 0.000000e+00 1.572058e-119 9.306054e-132
39 0.000000e+00 1.688922e-123 9.997850e-136
40 0.000000e+00 3.349867e-127 1.983008e-139
41 0.000000e+00 5.375171e-131 3.181920e-143
42 0.000000e+00 9.421873e-135 5.577432e-147
43 0.000000e+00 1.263442e-138 7.479154e-151
44 0.000000e+00 1.828052e-142 1.082145e-154
45 0.000000e+00 1.676787e-146 9.926015e-159
46 0.000000e+00 9.540836e-151 5.647853e-163
47 0.000000e+00 3.980687e-155 2.356433e-167
48 0.000000e+00 1.430582e-159 8.468561e-172
49 0.000000e+00 2.411254e-164 1.427381e-176
50 0.000000e+00 2.122474e-169 1.256433e-181
51 0.000000e+00 3.761969e-174 2.226959e-186
